		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 14.986328	M = 7681	N = 8	m = 9	n = 61448
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   24   21   26   23   27   24   26   21 47.295763 0.000000 FAILURE   0
000000011   17   16   21   17   18   14   17   16  4.167103 0.841741 SUCCESS   1
000000101   17   16   22   18   20   21   18   17  9.500550 0.301843 SUCCESS   2
000000111    7    8   14   11   11    4   11    6 25.006409 0.001551 FAILURE   3
000001001    1    6    8    8    5    5    4    3 57.764972 0.000000 FAILURE   4
000001011   22   18   24   17   23   21   17   16 17.170662 0.028380 SUCCESS   5
000001101   15   11    8   13   11   12   15   15  6.443439 0.597688 SUCCESS   6
000001111   11    7   14   11   14    6   11    7 17.783915 0.022906 SUCCESS   7
000010001   11   14    9    9   11   11   11   12 10.006073 0.264600 SUCCESS   8
000010011    6    4    9    9    6    7    6    6 39.932143 0.000003 FAILURE   9
000010101   10   16   18   17   10   13   16   13  5.020056 0.755430 SUCCESS  10
000010111   38   40   49   40   45   41   43   41 412.093246 0.000000 FAILURE  11
000011001   11   10   11   11   10    9   11   11 11.377477 0.181214 SUCCESS  12
000011011   11   13    7   10    9   10    9   12 14.750236 0.064188 SUCCESS  13
000011101   14   15   17   15   12   16   16   17  1.382819 0.994487 SUCCESS  14
000011111   10    3    6    8    6    6   12    4 40.625386 0.000002 FAILURE  15
000100011   14   15   15   12   19   15   14   12  2.474663 0.962902 SUCCESS  16
000100101   11   19   14   16   13   13   10   18  5.228783 0.732867 SUCCESS  17
000100111    6    7    9   12    6    9    7    8 28.852373 0.000337 FAILURE  18
000101001    7    8   13    8    7   13    9    7 22.937992 0.003445 FAILURE  19
000101011   11    9   13   12   15    9   14    9  9.462036 0.304829 SUCCESS  20
000101101   20   15   16   18   17   18   17   16  3.686357 0.884255 SUCCESS  21
000101111   17   13   24   16   20   16   16   19  9.209678 0.324918 SUCCESS  22
000110011   11   12   13   10   12   12   11   10  7.736469 0.459627 SUCCESS  23
000110101   12   16    8   14   12   13   15   13  5.276992 0.727602 SUCCESS  24
000110111   13   17   13   14   12   13   12   15  2.392519 0.966555 SUCCESS  25
000111001   10   18   16   10   14   12   15    9  7.278347 0.506921 SUCCESS  26
000111011   14   19   19   18   18   20   16   16  5.415694 0.712361 SUCCESS  27
000111101    9    9    8   10   14    8   11    8 17.914269 0.021878 SUCCESS  28
000111111   14    7    9    9    5    3    5    8 36.429030 0.000015 FAILURE  29
001000011   16   16   19   13   19   17   20   15  4.647848 0.794466 SUCCESS  30
001000101   12   13   14   12    9   12   13   17  5.206159 0.735331 SUCCESS  31
001000111   16   17   13   14   18   12   14   13  2.269707 0.971607 SUCCESS  32
001001011   20   22   17   21   21   18   18   27 21.594598 0.005725 FAILURE  33
001001101    5    8    5    6    7    7    4    5 46.677662 0.000000 FAILURE  34
001001111   12   16   17   14   12   18   17   13  2.825055 0.944852 SUCCESS  35
001010011    7    4   11    8    4    8    5    8 39.108546 0.000005 FAILURE  36
001010101   21   23   23   26   21   22   25   27 42.461914 0.000001 FAILURE  37
001010111   16   15   19   20   20   21   18   15  7.767442 0.456511 SUCCESS  38
001011011   24   14   17   15   19   20   18   19 10.529103 0.229834 SUCCESS  39
001011101   18   18   17   15   22   14   11   14  6.153376 0.630056 SUCCESS  40
001011111   11   12   14   10   10   10   12    9 10.006073 0.264600 SUCCESS  41
001100101   11   14    8   15   11   10    9   11 10.904273 0.207182 SUCCESS  42
001100111   11   12   13   12   11   10   11   11  7.598575 0.473631 SUCCESS  43
001101011   15   15   10   18   13   14   11   16  3.846067 0.870738 SUCCESS  44
001101101    6   10    9   13    7   13    5   14 21.637420 0.005634 FAILURE  45
001101111   16   20   18   20   23   21   15   20 12.817559 0.118283 SUCCESS  46
001110101   13   12   11   14   13   15   19   16  3.503216 0.898940 SUCCESS  47
001110111    9    9    8    8    7   10   10   11 20.593785 0.008308 FAILURE  48
001111011   10    9    9    8    8    5    9    7 27.130577 0.000671 FAILURE  49
001111101   15   15   12   15   12   14   18   14  1.990147 0.981312 SUCCESS  50
001111111   14   10   10   12   12   13    7   13  9.666993 0.289181 SUCCESS  51
010000011   16   15   13   19   13   14   17   18  2.698472 0.951833 SUCCESS  52
010000111   21   13   14   14   15   15   22   14  6.358332 0.607161 SUCCESS  53
010001011   18   12   17   19   19   15   19   25 11.766382 0.161936 SUCCESS  54
010001111   15   25   15   21   19   16   19   17 11.978880 0.152149 SUCCESS  55
010010011   12   17   14   13   15   16   16   18  2.001459 0.980967 SUCCESS  56
010010111   11   17   14   11   17   11   13   15  4.185147 0.840044 SUCCESS  57
010011011    5    6    6    8    3   10    4    9 43.789418 0.000001 FAILURE  58
010011111   10   12   17   11   12   20   12   11  7.762863 0.456971 SUCCESS  59
010100011    8   13   12    9    7   12   12    9 14.821069 0.062719 SUCCESS  60
010100111   10    7   12   13   10    9    7    9 18.052163 0.020839 SUCCESS  61
010101011   24   25   24   32   24   26   30   28 79.257931 0.000000 FAILURE  62
010101111   11   14   15   24   19   20   18   16 10.305293 0.244249 SUCCESS  63
010110011   21   19   19   23   23   21   22   23 23.883054 0.002398 FAILURE  64
010110111   22    8   16    8    8   11   14   16 14.791712 0.063324 SUCCESS  65
010111011   12    6    7    7    7   10    9    6 29.128162 0.000301 FAILURE  66
010111111    8   13   18   12   13   11   16    9  8.787646 0.360526 SUCCESS  67
011000111   25   22   22   20   23   19   18   22 24.986210 0.001563 FAILURE  68
011001111   24   21   19   22   24   19   21   24 27.405020 0.000602 FAILURE  69
011010111    8   16    5   13    6   13    5   13 23.571714 0.002703 FAILURE  70
011011111   15    6    9   11   10   13   11   13 12.488174 0.130716 SUCCESS  71
